jobTitle,preferredjobs
"Seasonal Retail Assistant","Museum Curatorship, Librarian/Library Work, Archivist"
Cleaning,
"Kitchen assistant","Teaching assistant, Cleaning"
,"Finance Manager, Finance Controller"
"Civil Engineer",
,"Warehouse, Kitchen Work, Forktruck Driving"
"Bar staff","Retail assistant"
Packer,"Warehouse Operative"
"Community carer,Customer advisor,Customer advisor","Nursery, childcare, school, Beauty"
,"Sales, DIY, Mechanic"
"Security Officer,Bench Joiner",
Farmer,"Warehouse, Security"
,"Recruiter, Talent acquisition"
"Customer service",
"Store floor assistant","Retail, Care assistant, Work at home"
"Bartender,Bartender,Waitress","Chef, Bar staff, Support worker"
"Carer,Carer","SEN teaching assistant, Nurse, Healthcare support worker"
,"Line leader in production, Production operative, Dispatch operative, Job using French language, Basic Administration job, Manufacturing, Football coach or Assistant for under 12 years"
,Warehouse
"Warehouse Operative",
,"Catering, Stocking"
"Railway Engineer,Railway Engineer","Railway Engineer"
"Production line operative",
